Nr;Huvuduppslag;Avdelning;Placering;Cirk. kat.;Hylla;Status;Lok.-datum;Förf. datum;Etikettnr.;Lån;
1;96 sidor om kristen tro 2013;  Vimmerby - Vuxen; ;;Ce;;2013-10-10;;52412970041;2
2;99 frågor om islam och något färre svar 2004;  Vimmerby - Vuxen; ;;Cmd;;2004-05-12;;21354180884;28
3;Adam av Bremen, Historien om Hamburgstiftet och dess biskopar 1984;  Vimmerby - Vuxen; ;;Cj;;1998-04-06;;20470590884;20
4;Agrell, Göran, Böcker för livet 1999;  Vimmerby - Vuxen; ;;Cc;;2000-02-23;;21281570884;16
5;Anderberg, Thomas, Guds moral 1997;  Vimmerby - Vuxen; ;;C;;1998-04-06;;89004831987;19
6;Andræ, Tor, Muhammed 2008;  Vimmerby - Vuxen; ;;Cmd;;2010-02-16;;21793200884;9
7;Ankarloo, Bengt, Helvetet 2003;  Vimmerby - Vuxen; ;;Ce;;2004-03-15;;21349060884;13
8;Arlebrand, Håkan, Drömmen om gudomlighet 1989;  Vimmerby - Vuxen; ;;Cks;;1998-04-06;;20300510884;30
9;Arlebrand, Håkan, Kristen tro idag 2004;  Vimmerby - Vuxen; ;;Ca;;2004-06-15;;21356830884;13
10;Armstrong, Karen, Buddha 2002;  Vimmerby - Vuxen; ;;Cme;;2002-04-30;;20880200884;26
11;Armstrong, Karen, För Guds skull 2011;  Vimmerby - Vuxen; ;;Cm;;2011-10-05;;80041466329;4
12;Armstrong, Karen, Historien om Gud 1995;  Vimmerby - Vuxen; ;;Cm;;2001-03-15;;21049770884;29
13;Armstrong, Karen, Kampen för Gud 2000;  Vimmerby - Vuxen; ;;Cm;;2001-09-07;;20855380884;20
14;Armstrong, Karen, Muhammed 2003;  Vimmerby - Vuxen; ;;Cmd;;2003-10-09;;21334290884;26
15;Armstrong, Karen, Myternas historia 2005;  Vimmerby - Vuxen; ;;Cm;;2005-11-04;;21620300884;25
16;Armstrong, Karen, Världsreligionernas födelse 2007;  Vimmerby - Vuxen; ;;Cm;;2007-11-19;;80036200614;12
17;Arnberg, Barbro, Invid muren 2006;  Vimmerby - Vuxen; ;;Cl;;2006-05-24;;89017930737;10
